Linear Detection Measurement - Goesser_62_136_
Pose p; Framenumber n; number of detected matches; targetpose px[m]; py[m]; pz[m]; rotx[°]; roty[°]; rotz[°]
Pose p; calculate Median
Pose p; calculate Mittelwert
Pose p; calculate Spannweite
Pose p; calculate Stdev
12; 11; 2; 0; 0; 0; 0; -0; 0
12; 12; 2; 0; 0; 0; 0; -0; 0
12; 13; 1; 0; 0; 0; 0; -0; 0
12; 14; 2; 0; 0; 0; 0; -0; 0
12; 15; 3; 0; 0; 0; 0; -0; 0
12; 16; 2; 0; 0; 0; 0; -0; 0
12; 17; 2; 0; 0; 0; 0; -0; 0
12; 18; 0; 0; 0; 0; 0; -0; 0
12; 19; 3; 0; 0; 0; 0; -0; 0
12; 20; 1; 0; 0; 0; 0; -0; 0
12; Median: 2; 0; 0; 0; 0; -0; 0
12; Mean: 1.55; 0; 0; 0; 0; 0; 0
12; Range: 3; 0; 0; 0; 0; 0; 0
12; Stdev: 0.973396; 0; 0; 0; 0; 0; 0
13; 1; 2; 0; 0; 0; 0; -0; 0
13; 2; 4; 0; 0; 0; 0; -0; 0
13; 3; 3; 0; 0; 0; 0; -0; 0
13; 4; 3; 0; 0; 0; 0; -0; 0
13; 5; 5; 0; 0; 0; 0; -0; 0
13; 6; 4; 0; 0; 0; 0; -0; 0
13; 7; 1; 0; 0; 0; 0; -0; 0
13; 8; 3; 0; 0; 0; 0; -0; 0
13; 9; 3; 0; 0; 0; 0; -0; 0
13; 10; 2; 0; 0; 0; 0; -0; 0
13; 11; 4; 0; 0; 0; 0; -0; 0
13; 12; 6; 0; 0; 0; 0; -0; 0
13; 13; 2; 0; 0; 0; 0; -0; 0
13; 14; 3; 0; 0; 0; 0; -0; 0
13; 15; 3; 0; 0; 0; 0; -0; 0
13; 16; 6; 0; 0; 0; 0; -0; 0
13; 17; 4; 0; 0; 0; 0; -0; 0
13; 18; 2; 0; 0; 0; 0; -0; 0
13; 19; 1; 0; 0; 0; 0; -0; 0
13; 20; 6; 0; 0; 0; 0; -0; 0
13; Median: 3; 0; 0; 0; 0; -0; 0
13; Mean: 3.35; 0; 0; 0; 0; 0; 0
13; Range: 5; 0; 0; 0; 0; 0; 0
13; Stdev: 1.49248; 0; 0; 0; 0; 0; 0
14; 1; 4; 0; 0; 0; 0; -0; 0
14; 2; 3; 0; 0; 0; 0; -0; 0
14; 3; 3; 0; 0; 0; 0; -0; 0
14; 4; 1; 0; 0; 0; 0; -0; 0
14; 5; 1; 0; 0; 0; 0; -0; 0
14; 6; 6; 0; 0; 0; 0; -0; 0
14; 7; 2; 0; 0; 0; 0; -0; 0
14; 8; 4; 0; 0; 0; 0; -0; 0
14; 9; 3; 0; 0; 0; 0; -0; 0
14; 10; 3; 0; 0; 0; 0; -0; 0
14; 11; 4; 0; 0; 0; 0; -0; 0
14; 12; 2; 0; 0; 0; 0; -0; 0
14; 13; 5; 0; 0; 0; 0; -0; 0
14; 14; 2; 0; 0; 0; 0; -0; 0
14; 15; 5; 0; 0; 0; 0; -0; 0
14; 16; 4; 0; 0; 0; 0; -0; 0
14; 17; 2; 0; 0; 0; 0; -0; 0
14; 18; 4; 0; 0; 0; 0; -0; 0
14; 19; 4; 0; 0; 0; 0; -0; 0
14; 20; 4; 0; 0; 0; 0; -0; 0
14; Median: 4; 0; 0; 0; 0; -0; 0
14; Mean: 3.3; 0; 0; 0; 0; 0; 0
14; Range: 5; 0; 0; 0; 0; 0; 0
14; Stdev: 1.30767; 0; 0; 0; 0; 0; 0
15; 1; 4; 0; 0; 0; 0; -0; 0
15; 2; 8; 0; 0; 0; 0; -0; 0
15; 3; 6; 0; 0; 0; 0; -0; 0
15; 4; 4; 0; 0; 0; 0; -0; 0
15; 5; 6; 0; 0; 0; 0; -0; 0
15; 6; 6; 0; 0; 0; 0; -0; 0
15; 7; 10; 0; 0; 0; 0; -0; 0
15; 8; 2; 0; 0; 0; 0; -0; 0
15; 9; 6; 0; 0; 0; 0; -0; 0
15; 10; 2; 0; 0; 0; 0; -0; 0
15; 11; 5; 0; 0; 0; 0; -0; 0
15; 12; 6; 0; 0; 0; 0; -0; 0
15; 13; 5; 0; 0; 0; 0; -0; 0
15; 14; 6; 0; 0; 0; 0; -0; 0
15; 15; 5; 0; 0; 0; 0; -0; 0
15; 16; 6; 0; 0; 0; 0; -0; 0
15; 17; 6; 0; 0; 0; 0; -0; 0
15; 18; 3; 0; 0; 0; 0; -0; 0
15; 19; 6; 0; 0; 0; 0; -0; 0
15; 20; 7; 0; 0; 0; 0; -0; 0
15; Median: 6; 0; 0; 0; 0; -0; 0
15; Mean: 5.45; 0; 0; 0; 0; 0; 0
15; Range: 8; 0; 0; 0; 0; 0; 0
15; Stdev: 1.82962; 0; 0; 0; 0; 0; 0
16; 1; 3; 0; 0; 0; 0; -0; 0
16; 2; 3; 0; 0; 0; 0; -0; 0
16; 3; 2; 0; 0; 0; 0; -0; 0
16; 4; 4; 0; 0; 0; 0; -0; 0
16; 5; 2; 0; 0; 0; 0; -0; 0
16; 6; 7; 0; 0; 0; 0; -0; 0
16; 7; 7; 0; 0; 0; 0; -0; 0
16; 8; 6; 0; 0; 0; 0; -0; 0
16; 9; 3; 0; 0; 0; 0; -0; 0
16; 10; 4; 0; 0; 0; 0; -0; 0
16; 11; 6; 0; 0; 0; 0; -0; 0
16; 12; 3; 0; 0; 0; 0; -0; 0
16; 13; 4; 0; 0; 0; 0; -0; 0
16; 14; 3; 0; 0; 0; 0; -0; 0
16; 15; 3; 0; 0; 0; 0; -0; 0
16; 16; 3; 0; 0; 0; 0; -0; 0
16; 17; 7; 0; 0; 0; 0; -0; 0
16; 18; 2; 0; 0; 0; 0; -0; 0
16; 19; 3; 0; 0; 0; 0; -0; 0
16; 20; 4; 0; 0; 0; 0; -0; 0
16; Median: 3; 0; 0; 0; 0; -0; 0
16; Mean: 3.95; 0; 0; 0; 0; 0; 0
16; Range: 5; 0; 0; 0; 0; 0; 0
16; Stdev: 1.65756; 0; 0; 0; 0; 0; 0
