Linear Detection Measurement - Goesser_25_65_
Pose p; Framenumber n; number of detected matches; targetpose px[m]; py[m]; pz[m]; rotx[°]; roty[°]; rotz[°]
Pose p; calculate Median
Pose p; calculate Mittelwert
Pose p; calculate Spannweite
Pose p; calculate Stdev
10; 9; 79; 0.0618734; -0.0640382; 1.57442; 60.2165; -160.497; 6.56441
10; 10; 58; 0.0640032; -0.0655516; 1.56716; 59.0319; -159.333; 7.52719
10; 11; 70; 0.0665287; -0.0758168; 1.56; 55.9013; -159.423; 7.3253
10; 12; 62; 0.0605434; -0.0700869; 1.56712; 55.9052; -162.326; 7.82367
10; 13; 68; 0.0628481; -0.0736512; 1.57133; 56.8036; -160.862; 6.52156
10; 14; 61; 0.0717002; -0.0635945; 1.53224; 58.5733; -157.114; 7.93834
10; 15; 60; 0.0650706; -0.0603967; 1.55223; 60.4789; -159.423; 6.69926
10; 16; 66; 0.0703544; -0.0547844; 1.54954; 61.4549; -158.142; 5.70599
10; 17; 67; 0.0642701; -0.0665135; 1.56855; 58.7146; -159.283; 7.41564
10; 18; 60; 0.0631511; -0.0637458; 1.55572; 59.6968; -160.608; 6.15608
10; 19; 70; 0.0578682; -0.0583973; 1.53805; 60.5299; -161.041; 6.74561
10; 20; 58; 0.0640517; -0.0622981; 1.56026; 60.3657; -159.683; 6.85543
10; Median; 62; 0.06447; -0.0648553; 1.56026; 7.41564; -159.423; 59.0319
10; Mean; 64.45; 0.0649753; -0.0658552; 1.55535; 7.14885; -159.626; 58.6068
10; Range; 21; 0.0188874; 0.0210324; 0.084636; 2.86432; 6.22864; 6.20676
10; Stdev; 5.34299; 0.00462802; 0.00527034; 0.0185956; 0.748107; 1.54143; 1.80864
11; 1; 46; 0.1213; -0.129352; 1.61656; 53.9393; -156.765; 9.66101
11; 2; 44; 0.0505107; -0.129551; 1.68267; 58.1514; -179.667; 2.91697
11; 3; 60; 0.106736; -0.0982415; 1.6006; 64.0346; -159.388; 4.7356
11; 4; 47; 0.0990057; -0.10226; 1.60562; 62.673; -162.289; 4.36682
11; 5; 42; 0.111494; -0.140833; 1.69479; 55.0174; -160.71; 7.27755
11; 6; 45; 0.115456; -0.115257; 1.68422; 61.3807; -158.062; 7.14408
11; 7; 54; 0.0941761; -0.105884; 1.59717; 62.1363; -162.893; 7.13012
11; 8; 46; 0.102168; -0.108727; 1.61851; 61.1953; -161.259; 7.32019
11; 9; 47; 0.11657; -0.110369; 1.68846; 64.2559; -158.131; 4.72071
11; 10; 43; 0.108559; -0.140455; 1.69679; 53.0382; -162.191; 8.01077
11; 11; 47; 0.113324; -0.122216; 1.67624; 58.6487; -157.448; 9.04101
11; 12; 42; 0.118239; -0.111264; 1.6882; 62.5288; -156.669; 7.71675
11; 13; 55; 0.110246; -0.137808; 1.6785; 54.3758; -160.148; 9.64528
11; 14; 55; 0.120383; -0.130361; 1.61976; 53.8785; -157.017; 9.53733
11; 15; 52; 0.10425; -0.111968; 1.62688; 60.2721; -160.556; 7.13584
11; 16; 49; 0.114256; -0.125337; 1.67551; 57.9406; -158.852; 8.13226
11; 17; 43; 0.08969; -0.12655; 1.67075; 58.6048; -166.758; 4.34633
11; 18; 41; 0.0780485; -0.0933553; 1.60229; 66.2483; -169.258; 3.29251
11; 19; 43; 0.107391; -0.11878; 1.67326; 58.5758; -159.862; 9.89805
